Vardas              Pavarde             Galutinis(vid.)   
--------------------------------------------------------------------------
Vardas1             Pavarde1            1.8               
Vardas2             Pavarde2            4.2               
Vardas3             Pavarde3            3                 
Vardas4             Pavarde4            0.6               
Vardas5             Pavarde5            5.4               
Vardas6             Pavarde6            1.2               
Vardas7             Pavarde7            5.4               
Vardas8             Pavarde8            0.6               
Vardas9             Pavarde9            4.2               
Vardas10            Pavarde10           2.4               
Vardas11            Pavarde11           1.8               
Vardas12            Pavarde12           6                 
Vardas13            Pavarde13           4.2               
Vardas14            Pavarde14           0.6               
Vardas15            Pavarde15           4.8               
Vardas16            Pavarde16           4.2               
Vardas17            Pavarde17           4.2               
Vardas18            Pavarde18           6                 
Vardas19            Pavarde19           6                 
Vardas20            Pavarde20           6                 
Vardas21            Pavarde21           4.8               
Vardas22            Pavarde22           4.2               
Vardas23            Pavarde23           4.8               
Vardas24            Pavarde24           4.2               
Vardas25            Pavarde25           5.4               
Vardas26            Pavarde26           2.4               
Vardas27            Pavarde27           4.2               
Vardas28            Pavarde28           1.8               
Vardas29            Pavarde29           3.6               
Vardas30            Pavarde30           4.2               
Vardas31            Pavarde31           2.4               
Vardas32            Pavarde32           2.4               
Vardas33            Pavarde33           4.2               
Vardas34            Pavarde34           3.6               
Vardas35            Pavarde35           0.6               
Vardas36            Pavarde36           6                 
Vardas37            Pavarde37           1.2               
Vardas38            Pavarde38           3                 
Vardas39            Pavarde39           0.6               
Vardas40            Pavarde40           0.6               
Vardas41            Pavarde41           4.2               
Vardas42            Pavarde42           1.8               
Vardas43            Pavarde43           2.4               
Vardas44            Pavarde44           3.6               
Vardas45            Pavarde45           4.8               
Vardas46            Pavarde46           6                 
Vardas47            Pavarde47           4.2               
Vardas48            Pavarde48           0.6               
Vardas49            Pavarde49           0.6               
Vardas50            Pavarde50           3                 
Vardas51            Pavarde51           4.8               
Vardas52            Pavarde52           3.6               
Vardas53            Pavarde53           0.6               
Vardas54            Pavarde54           3.6               
Vardas55            Pavarde55           5.4               
Vardas56            Pavarde56           3                 
Vardas57            Pavarde57           3                 
Vardas58            Pavarde58           2.4               
Vardas59            Pavarde59           3                 
Vardas60            Pavarde60           3.6               
Vardas61            Pavarde61           4.8               
Vardas62            Pavarde62           6                 
Vardas63            Pavarde63           4.2               
Vardas64            Pavarde64           4.2               
Vardas65            Pavarde65           1.8               
Vardas66            Pavarde66           3.6               
Vardas67            Pavarde67           6                 
Vardas68            Pavarde68           1.2               
Vardas69            Pavarde69           5.4               
Vardas70            Pavarde70           0.6               
Vardas71            Pavarde71           5.4               
Vardas72            Pavarde72           2.4               
Vardas73            Pavarde73           6                 
Vardas74            Pavarde74           1.2               
Vardas75            Pavarde75           4.2               
Vardas76            Pavarde76           4.2               
Vardas77            Pavarde77           1.8               
Vardas78            Pavarde78           6                 
Vardas79            Pavarde79           3.6               
Vardas80            Pavarde80           4.8               
Vardas81            Pavarde81           1.2               
Vardas82            Pavarde82           1.2               
Vardas83            Pavarde83           1.8               
Vardas84            Pavarde84           3                 
Vardas85            Pavarde85           2.4               
Vardas86            Pavarde86           2.4               
Vardas87            Pavarde87           5.4               
Vardas88            Pavarde88           4.2               
Vardas89            Pavarde89           4.2               
Vardas90            Pavarde90           5.4               
Vardas91            Pavarde91           4.8               
Vardas92            Pavarde92           4.8               
Vardas93            Pavarde93           3                 
Vardas94            Pavarde94           5.4               
