Vardas              Pavarde             Gal.(vid)           
Vardas1             Pavarde1            8.32              
Vardas2             Pavarde2            2.64              
Vardas3             Pavarde3            3.16              
Vardas4             Pavarde4            3.84              
Vardas5             Pavarde5            7.4               
Vardas6             Pavarde6            1.84              
Vardas7             Pavarde7            7.84              
Vardas8             Pavarde8            3.88              
Vardas9             Pavarde9            2.72              
Vardas10            Pavarde10           6.8               
Vardas11            Pavarde11           5.2               
Vardas12            Pavarde12           0.88              
Vardas13            Pavarde13           5.6               
Vardas14            Pavarde14           6.28              
Vardas15            Pavarde15           3.2               
Vardas16            Pavarde16           2.48              
Vardas17            Pavarde17           5.28              
Vardas18            Pavarde18           4.28              
Vardas19            Pavarde19           4.84              
Vardas20            Pavarde20           5.92              
Vardas21            Pavarde21           7.8               
Vardas22            Pavarde22           3.64              
Vardas23            Pavarde23           4.28              
Vardas24            Pavarde24           7.28              
Vardas25            Pavarde25           1.4               
Vardas26            Pavarde26           6.44              
Vardas27            Pavarde27           1.92              
Vardas28            Pavarde28           5.4               
Vardas29            Pavarde29           1.6               
Vardas30            Pavarde30           8.2               
Vardas31            Pavarde31           4.16              
Vardas32            Pavarde32           5.8               
Vardas33            Pavarde33           4.44              
Vardas34            Pavarde34           6.44              
Vardas35            Pavarde35           7.64              
Vardas36            Pavarde36           3.68              
Vardas37            Pavarde37           4.44              
Vardas38            Pavarde38           1.84              
Vardas39            Pavarde39           7.92              
Vardas40            Pavarde40           5.76              
Vardas41            Pavarde41           7.68              
Vardas42            Pavarde42           3.76              
Vardas43            Pavarde43           6.24              
Vardas44            Pavarde44           3.6               
Vardas45            Pavarde45           1.96              
Vardas46            Pavarde46           5.76              
Vardas47            Pavarde47           5.84              
Vardas48            Pavarde48           4.36              
Vardas49            Pavarde49           5.12              
Vardas50            Pavarde50           3.88              
Vardas51            Pavarde51           5.04              
Vardas52            Pavarde52           6.68              
Vardas53            Pavarde53           3.12              
Vardas54            Pavarde54           3.68              
Vardas55            Pavarde55           4.56              
Vardas56            Pavarde56           1.92              
Vardas57            Pavarde57           3.08              
Vardas58            Pavarde58           5.28              
Vardas59            Pavarde59           2.76              
Vardas60            Pavarde60           5.72              
Vardas61            Pavarde61           2.76              
Vardas62            Pavarde62           4.12              
Vardas63            Pavarde63           5.72              
Vardas64            Pavarde64           5.72              
Vardas65            Pavarde65           8.88              
Vardas66            Pavarde66           3                 
Vardas67            Pavarde67           3.04              
Vardas68            Pavarde68           2.6               
Vardas69            Pavarde69           6.32              
Vardas70            Pavarde70           6.12              
Vardas71            Pavarde71           7                 
Vardas72            Pavarde72           5.36              
Vardas73            Pavarde73           1.92              
Vardas74            Pavarde74           7.16              
Vardas75            Pavarde75           4.04              
Vardas76            Pavarde76           2.16              
Vardas77            Pavarde77           6.16              
Vardas78            Pavarde78           5.72              
Vardas79            Pavarde79           2                 
Vardas80            Pavarde80           4.44              
Vardas81            Pavarde81           8                 
Vardas82            Pavarde82           5.96              
Vardas83            Pavarde83           5.76              
Vardas84            Pavarde84           3.32              
Vardas85            Pavarde85           7.64              
Vardas86            Pavarde86           6.36              
Vardas87            Pavarde87           2.36              
Vardas88            Pavarde88           3.92              
Vardas89            Pavarde89           2.16              
Vardas90            Pavarde90           3.32              
Vardas91            Pavarde91           4.72              
Vardas92            Pavarde92           3.96              
Vardas93            Pavarde93           7.4               
Vardas94            Pavarde94           6.16              
Vardas95            Pavarde95           7.56              
Vardas96            Pavarde96           6.44              
Vardas97            Pavarde97           7.04              
Vardas98            Pavarde98           5                 
Vardas99            Pavarde99           6.84              
Vardas100           Pavarde100          8.8               
Vardas101           Pavarde101          5.56              
Vardas102           Pavarde102          2.6               
Vardas103           Pavarde103          6.04              
Vardas104           Pavarde104          3.68              
Vardas105           Pavarde105          4.32              
Vardas106           Pavarde106          5.92              
